Name MC MP
Bitcoin 1,114,303,032,349 55.37%
Ethereum 358,726,047,471 17.83%
Tether 112,314,213,606 5.58%
BNB 73,311,697,452 3.64%
Solana 62,534,632,837 3.11%
USDC 33,222,939,282 1.65%
XRP 23,763,631,661 1.18%
Toncoin 18,169,836,478 0.9%
Dogecoin 15,186,966,095 0.75%
Cardano 12,628,344,441 0.63%
TRON 11,067,560,838 0.55%
Avalanche 9,873,975,774 0.49%
"Shiba Inu" 8,598,229,557 0.43%
Polkadot 8,391,769,096 0.42%
Chainlink 7,531,940,639 0.37%
"Bitcoin Cash" 6,417,945,210 0.32%
Dai 5,349,397,999 0.27%
"UNUS SED LEO" 5,288,426,820 0.26%
"NEAR Protocol" 4,898,484,399 0.24%
Uniswap 4,649,761,083 0.23%
Polygon 4,621,871,925 0.23%
Litecoin 4,583,763,530 0.23%
Kaspa 3,883,727,273 0.19%
Pepe 3,787,544,530 0.19%
"Internet Computer" 3,109,915,408 0.15%
"Ethereum Classic" 2,986,346,950 0.15%
"Artificial Superintelligence Alliance" 2,949,964,721 0.15%
Monero 2,848,482,845 0.14%
Aptos 2,542,696,479 0.13%
Render 2,532,340,724 0.13%
Stellar 2,467,739,537 0.12%
Hedera 2,453,373,671 0.12%
Cosmos 2,263,679,506 0.11%
Cronos 2,243,309,294 0.11%
OKB 2,194,092,671 0.11%
Mantle 2,088,286,023 0.1%
Maker 2,077,639,241 0.1%
Stacks 2,060,717,276 0.1%
Filecoin 2,027,789,136 0.1%
Arbitrum 2,022,490,065 0.1%
Immutable 1,939,979,878 0.1%
dogwifhat 1,944,104,805 0.1%
VeChain 1,921,346,473 0.1%
"First Digital USD" 1,916,117,791 0.1%
Injective 1,779,032,347 0.09%
"The Graph" 1,664,667,196 0.08%
Sui 1,633,849,170 0.08%
Bittensor 1,557,830,746 0.08%
Bonk 1,521,775,402 0.08%
Optimism 1,504,763,754 0.07%
Arweave 1,486,947,579 0.07%
"Bitget Token" 1,448,919,390 0.07%
"Lido DAO" 1,422,519,688 0.07%
Ondo 1,385,238,322 0.07%
FLOKI 1,353,162,793 0.07%
"Theta Network" 1,272,447,007 0.06%
"Brett (Based)" 1,227,293,030 0.06%
Fantom 1,194,280,774 0.06%
Aave 1,188,031,323 0.06%
THORChain 1,132,857,301 0.06%
Algorand 1,087,463,753 0.05%
Notcoin 1,060,996,533 0.05%
JasmyCoin 1,048,030,232 0.05%
Jupiter 1,000,789,164 0.05%
"Pyth Network" 983,167,304 0.05%
Celestia 958,561,697 0.05%
Quant 909,573,215 0.05%
MultiversX 895,600,668 0.04%
Flare 887,285,802 0.04%
"KuCoin Token" 847,755,617 0.04%
Sei 836,833,210 0.04%
Core 799,767,346 0.04%
Flow 774,538,054 0.04%
"Akash Network" 771,540,212 0.04%
Starknet 755,438,502 0.04%
"Axie Infinity" 734,768,420 0.04%
"Ethereum Name Service" 732,702,947 0.04%
USDD 733,429,664 0.04%
"dYdX (Native)" 731,076,683 0.04%
"BitTorrent [New]" 726,576,162 0.04%
EOS 725,076,782 0.04%
Tezos 724,546,347 0.04%
Beam 709,986,450 0.04%
"Bitcoin SV" 690,324,738 0.03%
Gala 681,514,673 0.03%
Neo 670,064,996 0.03%
MANTRA 661,692,116 0.03%
Ethena 648,440,090 0.03%
"The Sandbox" 645,059,629 0.03%
Gnosis 621,632,955 0.03%
GateToken 617,639,323 0.03%
Safe 588,209,416 0.03%
"Tether Gold" 589,476,485 0.03%
ORDI 587,192,856 0.03%
Nexo 584,010,469 0.03%
Oasis 564,496,742 0.03%
Decentraland 564,851,287 0.03%
Ronin 561,376,506 0.03%
Pendle 560,858,588 0.03%
eCash 556,101,441 0.03%
