Name MC MP
Bitcoin 1,197,558,449,426 54.94%
Ethereum 403,978,183,859 18.53%
Tether 112,712,542,289 5.17%
BNB 84,131,139,461 3.86%
Solana 63,759,937,847 2.92%
USDC 32,274,349,723 1.48%
XRP 26,241,271,412 1.2%
Toncoin 18,916,504,262 0.87%
Dogecoin 17,520,160,627 0.8%
Cardano 13,623,297,840 0.62%
Avalanche 11,085,782,853 0.51%
TRON 10,919,004,677 0.5%
"Shiba Inu" 9,869,573,429 0.45%
Polkadot 8,755,420,193 0.4%
Chainlink 8,201,788,407 0.38%
"Bitcoin Cash" 7,558,582,642 0.35%
Litecoin 5,596,085,560 0.26%
"UNUS SED LEO" 5,422,647,529 0.25%
Polygon 5,426,574,251 0.25%
"NEAR Protocol" 5,368,212,971 0.25%
Dai 5,346,884,879 0.25%
Uniswap 5,351,797,936 0.25%
Pepe 4,609,792,174 0.21%
Kaspa 4,535,338,788 0.21%
"Internet Computer" 3,674,814,294 0.17%
"Ethereum Classic" 3,389,411,762 0.16%
Aptos 3,083,118,665 0.14%
Monero 3,077,255,539 0.14%
Render 2,762,073,586 0.13%
Hedera 2,694,971,795 0.12%
Stellar 2,628,258,615 0.12%
Cosmos 2,585,512,846 0.12%
OKB 2,530,255,843 0.12%
Mantle 2,511,271,930 0.12%
Arbitrum 2,505,028,469 0.11%
Filecoin 2,452,469,325 0.11%
Cronos 2,391,518,682 0.11%
Stacks 2,381,573,473 0.11%
Maker 2,260,949,761 0.1%
"First Digital USD" 2,076,387,248 0.1%
Immutable 2,166,147,916 0.1%
VeChain 2,074,213,332 0.1%
Injective 2,056,041,120 0.09%
dogwifhat 1,954,130,087 0.09%
Optimism 1,936,384,386 0.09%
"The Graph" 1,921,385,634 0.09%
Sui 1,891,685,002 0.09%
Arweave 1,790,775,584 0.08%
Bittensor 1,779,086,227 0.08%
"Lido DAO" 1,717,515,432 0.08%
"Bitget Token" 1,588,916,180 0.07%
FLOKI 1,539,984,078 0.07%
Ondo 1,535,831,458 0.07%
Fantom 1,532,889,656 0.07%
"Theta Network" 1,485,374,096 0.07%
"Brett (Based)" 1,485,392,136 0.07%
Bonk 1,471,306,943 0.07%
Notcoin 1,410,048,398 0.06%
Aave 1,408,858,636 0.06%
JasmyCoin 1,384,537,269 0.06%
THORChain 1,311,683,405 0.06%
Celestia 1,168,408,617 0.05%
Core 1,145,727,495 0.05%
Fetch.ai 1,131,620,335 0.05%
Algorand 1,129,282,022 0.05%
"Pyth Network" 1,111,518,410 0.05%
Jupiter 1,050,282,595 0.05%
Flare 1,010,505,963 0.05%
Sei 993,191,849 0.05%
"KuCoin Token" 945,069,352 0.04%
Flow 912,247,022 0.04%
Quant 899,319,018 0.04%
"Akash Network" 877,611,651 0.04%
"Axie Infinity" 869,062,348 0.04%
"Bitcoin SV" 855,778,046 0.04%
Gala 851,986,593 0.04%
EOS 840,648,070 0.04%
Starknet 833,954,407 0.04%
"BitTorrent [New]" 826,339,329 0.04%
"Ethereum Name Service" 808,122,582 0.04%
ORDI 805,738,333 0.04%
"dYdX (Native)" 795,729,587 0.04%
Neo 786,529,237 0.04%
MultiversX 763,844,710 0.04%
Beam 757,438,959 0.03%
Pendle 757,307,348 0.03%
Tezos 750,459,105 0.03%
Ethena 748,881,744 0.03%
SingularityNET 737,429,042 0.03%
"The Sandbox" 738,437,061 0.03%
USDD 734,073,962 0.03%
Gnosis 718,388,325 0.03%
GateToken 716,497,484 0.03%
Ronin 683,703,211 0.03%
Nexo 654,297,572 0.03%
Oasis 650,736,097 0.03%
"BOOK OF MEME" 645,438,112 0.03%
Chiliz 644,775,109 0.03%
"Mog Coin" 643,923,749 0.03%
Worldcoin 641,592,925 0.03%
